"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"01/01/2024 - 30/12/2024","Week 1","Poland (PL)","11899.0","12708.3","24524.25","23216.0"
"01/01/2024 - 30/12/2024","Week 2","Poland (PL)","15355.0","16109.48","28303.88","26378.0"
"01/01/2024 - 30/12/2024","Week 3","Poland (PL)","14793.0","15912.9","26694.71","25441.0"
"01/01/2024 - 30/12/2024","Week 4","Poland (PL)","14176.0","15147.48","25181.83","24270.0"
"01/01/2024 - 30/12/2024","Week 5","Poland (PL)","13811.0","14461.94","24823.66","23891.0"
"01/01/2024 - 30/12/2024","Week 6","Poland (PL)","13634.0","14369.21","24776.66","23381.0"
"01/01/2024 - 30/12/2024","Week 7","Poland (PL)","13863.0","14918.84","24146.55","22707.0"
"01/01/2024 - 30/12/2024","Week 8","Poland (PL)","13552.0","14626.28","24768.54","23158.0"
"01/01/2024 - 30/12/2024","Week 9","Poland (PL)","13033.0","14110.69","23809.63","22464.0"
"01/01/2024 - 30/12/2024","Week 10","Poland (PL)","13348.0","14376.44","24379.48","23087.0"
"01/01/2024 - 30/12/2024","Week 11","Poland (PL)","13437.0","14071.85","24050.98","23042.0"
"01/01/2024 - 30/12/2024","Week 12","Poland (PL)","13415.0","14307.35","24409.01","22965.0"
"01/01/2024 - 30/12/2024","Week 13","Poland (PL)","10810.0","11922.95","24165.9","22295.0"
"01/01/2024 - 30/12/2024","Week 14","Poland (PL)","10690.0","11514.29","22790.35","21349.0"
"01/01/2024 - 30/12/2024","Week 15","Poland (PL)","12298.0","13177.33","22297.05","20983.0"
"01/01/2024 - 30/12/2024","Week 16","Poland (PL)","12975.0","14129.98","22958.48","21607.0"
"01/01/2024 - 30/12/2024","Week 17","Poland (PL)","12182.0","13228.05","23582.73","21951.0"
"01/01/2024 - 30/12/2024","Week 18","Poland (PL)","11172.0","11786.35","21213.63","20211.0"
"01/01/2024 - 30/12/2024","Week 19","Poland (PL)","12037.0","12772.55","21505.78","20614.0"
"01/01/2024 - 30/12/2024","Week 20","Poland (PL)","11564.0","12760.8","21539.54","20476.0"
"01/01/2024 - 30/12/2024","Week 21","Poland (PL)","11979.0","12968.59","21903.6","20705.0"
"01/01/2024 - 30/12/2024","Week 22","Poland (PL)","11621.0","12485.81","21744.96","20426.0"
"01/01/2024 - 30/12/2024","Week 23","Poland (PL)","11789.0","12553.09","21596.03","20667.0"
"01/01/2024 - 30/12/2024","Week 24","Poland (PL)","11906.0","11807.507","21812.81","20879.0"
"01/01/2024 - 30/12/2024","Week 25","Poland (PL)","11856.0","12022.393","21167.92","22104.0"
"01/01/2024 - 30/12/2024","Week 26","Poland (PL)","12163.0","12552.942","22290.695","22238.0"
"01/01/2024 - 30/12/2024","Week 27","Poland (PL)","12181.0","12169.702","21870.607","21800.0"
"01/01/2024 - 30/12/2024","Week 28","Poland (PL)","12150.0","12252.156","22609.532","21825.0"
"01/01/2024 - 30/12/2024","Week 29","Poland (PL)","12569.0","12132.126","22050.981","21725.0"
"01/01/2024 - 30/12/2024","Week 30","Poland (PL)","12194.0","12162.816","20792.121","20936.0"
"01/01/2024 - 30/12/2024","Week 31","Poland (PL)","11950.0","11646.489","20575.306","20676.0"
"01/01/2024 - 30/12/2024","Week 32","Poland (PL)","11987.0","11816.453","20400.141","20345.0"
"01/01/2024 - 30/12/2024","Week 33","Poland (PL)","11869.0","12052.611","19817.546","19929.0"
"01/01/2024 - 30/12/2024","Week 34","Poland (PL)","12225.0","12324.479","21589.683","22230.0"
"01/01/2024 - 30/12/2024","Week 35","Poland (PL)","12293.0","12300.04","21752.177","21641.0"
"01/01/2024 - 30/12/2024","Week 36","Poland (PL)","12606.0","12253.894","21447.655","21968.0"
"01/01/2024 - 30/12/2024","Week 37","Poland (PL)","12350.0","12733.543","21307.241","21249.0"
"01/01/2024 - 30/12/2024","Week 38","Poland (PL)","11975.0","12079.001","21020.94","21175.0"
"01/01/2024 - 30/12/2024","Week 39","Poland (PL)","12200.0","12097.579","21254.565","21282.0"
"01/01/2024 - 30/12/2024","Week 40","Poland (PL)","12906.0","12959.716","22300.822","22538.0"
"01/01/2024 - 30/12/2024","Week 41","Poland (PL)","13549.0","12603.36","22022.074","22038.0"
"01/01/2024 - 30/12/2024","Week 42","Poland (PL)","12963.0","12887.841","22513.716","22244.0"
"01/01/2024 - 30/12/2024","Week 43","Poland (PL)","13083.0","12669.978","22277.023","22094.0"
"01/01/2024 - 30/12/2024","Week 44","Poland (PL)","12450.0","12181.514","22651.81","22318.0"
"01/01/2024 - 30/12/2024","Week 45","Poland (PL)","13387.0","13509.54","23558.325","23488.0"
"01/01/2024 - 30/12/2024","Week 46","Poland (PL)","13606.0","13522.166","24296.495","23988.0"
"01/01/2024 - 30/12/2024","Week 47","Poland (PL)","14256.0","14269.902","24550.658","24720.0"
"01/01/2024 - 30/12/2024","Week 48","Poland (PL)","14175.0","14359.142","24292.044","23975.0"
"01/01/2024 - 30/12/2024","Week 49","Poland (PL)","14275.0","14350.913","24547.481","24394.0"
"01/01/2024 - 30/12/2024","Week 50","Poland (PL)","14600.0","14678.018","24980.744","24781.0"
"01/01/2024 - 30/12/2024","Week 51","Poland (PL)","14726.0","14563.526","23639.957","23963.0"
"01/01/2024 - 30/12/2024","Week 52","Poland (PL)","12025.0","11955.883","22071.418","22538.0"
