"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"31/12/2018 - 30/12/2019","Week 1","Poland (PL)","12898.5","12992.96","24945.56","27700.0"
"31/12/2018 - 30/12/2019","Week 2","Poland (PL)","14170.9","15513.79","25954.28","27700.0"
"31/12/2018 - 30/12/2019","Week 3","Poland (PL)","15434.4","15798.93","25264.46","27700.0"
"31/12/2018 - 30/12/2019","Week 4","Poland (PL)","15483.2","16055.43","26135.58","27700.0"
"31/12/2018 - 30/12/2019","Week 5","Poland (PL)","15090.6","14985.68","25339.89","27700.0"
"31/12/2018 - 30/12/2019","Week 6","Poland (PL)","15084.5","15152.4","24931.56","27400.0"
"31/12/2018 - 30/12/2019","Week 7","Poland (PL)","15570.6","14766.14","24699.6","27400.0"
"31/12/2018 - 30/12/2019","Week 8","Poland (PL)","15452.3","15221.48","24560.56","27400.0"
"31/12/2018 - 30/12/2019","Week 9","Poland (PL)","16332.0","15023.25","24220.56","27400.0"
"31/12/2018 - 30/12/2019","Week 10","Poland (PL)","16145.4","14460.68","23769.44","26100.0"
"31/12/2018 - 30/12/2019","Week 11","Poland (PL)","14443.5","14576.69","24033.24","26100.0"
"31/12/2018 - 30/12/2019","Week 12","Poland (PL)","15427.4","13906.98","23912.05","26100.0"
"31/12/2018 - 30/12/2019","Week 13","Poland (PL)","14832.8","14209.64","23876.78","26100.0"
"31/12/2018 - 30/12/2019","Week 14","Poland (PL)","12552.9","13678.13","22650.56","24000.0"
"31/12/2018 - 30/12/2019","Week 15","Poland (PL)","13308.3","14139.38","23153.55","24000.0"
"31/12/2018 - 30/12/2019","Week 16","Poland (PL)","12792.3","11874.89","22848.58","24000.0"
"31/12/2018 - 30/12/2019","Week 17","Poland (PL)","12678.3","11399.64","22262.04","24000.0"
"31/12/2018 - 30/12/2019","Week 18","Poland (PL)","12551.9","12554.58","21412.81","24000.0"
"31/12/2018 - 30/12/2019","Week 19","Poland (PL)","12371.3","12894.21","22277.66","23200.0"
"31/12/2018 - 30/12/2019","Week 20","Poland (PL)","12256.7","12514.13","23215.05","23300.0"
"31/12/2018 - 30/12/2019","Week 21","Poland (PL)","12220.7","12678.75","22271.31","23400.0"
"31/12/2018 - 30/12/2019","Week 22","Poland (PL)","12509.0","12455.64","22233.81","23500.0"
"31/12/2018 - 30/12/2019","Week 23","Poland (PL)","12706.6","12434.49","22766.34","23700.0"
"31/12/2018 - 30/12/2019","Week 24","Poland (PL)","12732.1","13404.35","23740.4","23700.0"
"31/12/2018 - 30/12/2019","Week 25","Poland (PL)","12799.8","12370.09","23071.29","23700.0"
"31/12/2018 - 30/12/2019","Week 26","Poland (PL)","12197.8","12871.26","24008.78","23700.0"
"31/12/2018 - 30/12/2019","Week 27","Poland (PL)","12386.8","12753.3","23079.16","23800.0"
"31/12/2018 - 30/12/2019","Week 28","Poland (PL)","12687.0","12495.95","21781.08","23900.0"
"31/12/2018 - 30/12/2019","Week 29","Poland (PL)","12632.8","12754.15","21947.71","23900.0"
"31/12/2018 - 30/12/2019","Week 30","Poland (PL)","12648.6","12822.41","22309.41","24000.0"
"31/12/2018 - 30/12/2019","Week 31","Poland (PL)","13033.5","12244.63","22857.54","24000.0"
"31/12/2018 - 30/12/2019","Week 32","Poland (PL)","13098.2","12798.0","22138.26","24000.0"
"31/12/2018 - 30/12/2019","Week 33","Poland (PL)","12532.8","12364.28","22242.13","23900.0"
"31/12/2018 - 30/12/2019","Week 34","Poland (PL)","12757.9","12953.73","22302.81","24000.0"
"31/12/2018 - 30/12/2019","Week 35","Poland (PL)","12898.3","13472.48","23624.43","24000.0"
"31/12/2018 - 30/12/2019","Week 36","Poland (PL)","12995.2","12985.34","22153.88","24200.0"
"31/12/2018 - 30/12/2019","Week 37","Poland (PL)","13236.2","13156.3","22177.94","24300.0"
"31/12/2018 - 30/12/2019","Week 38","Poland (PL)","13103.8","13557.15","22710.2","24600.0"
"31/12/2018 - 30/12/2019","Week 39","Poland (PL)","13361.9","13753.91","23700.49","24800.0"
"31/12/2018 - 30/12/2019","Week 40","Poland (PL)","13764.3","14065.7","23563.65","25100.0"
"31/12/2018 - 30/12/2019","Week 41","Poland (PL)","13837.8","13878.56","23956.11","25100.0"
"31/12/2018 - 30/12/2019","Week 42","Poland (PL)","13465.3","13937.14","23420.48","25100.0"
"31/12/2018 - 30/12/2019","Week 43","Poland (PL)","14113.8","13902.13","23694.1","25100.0"
"31/12/2018 - 30/12/2019","Week 44","Poland (PL)","13247.1","13539.95","24340.31","27000.0"
"31/12/2018 - 30/12/2019","Week 45","Poland (PL)","13887.9","14204.94","24308.28","27000.0"
"31/12/2018 - 30/12/2019","Week 46","Poland (PL)","13706.6","14027.6","24288.9","27000.0"
"31/12/2018 - 30/12/2019","Week 47","Poland (PL)","15203.5","14580.35","24507.1","27000.0"
"31/12/2018 - 30/12/2019","Week 48","Poland (PL)","15528.3","14990.19","25298.06","27500.0"
"31/12/2018 - 30/12/2019","Week 49","Poland (PL)","15619.9","14908.4","25523.96","27500.0"
"31/12/2018 - 30/12/2019","Week 50","Poland (PL)","14948.7","15068.19","25691.25","27500.0"
"31/12/2018 - 30/12/2019","Week 51","Poland (PL)","15904.8","14472.91","24801.99","27500.0"
"31/12/2018 - 30/12/2019","Week 52","Poland (PL)","12700.3","12177.41","23285.96","27500.0"
