"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"29/12/2025 - 04/01/2027","Week 1","Poland (PL)","13331.0","13179.626","21969.778","20843.0"
"29/12/2025 - 04/01/2027","Week 2","Poland (PL)","14832.0","14774.1","27617.655","27444.0"
"29/12/2025 - 04/01/2027","Week 3","Poland (PL)","16426.0","16137.926","27575.676","27200.0"
"29/12/2025 - 04/01/2027","Week 4","Poland (PL)","15831.0","15772.417","26691.218","26588.0"
"29/12/2025 - 04/01/2027","Week 5","Poland (PL)","16319.0","15811.64","26628.289","26394.0"
"29/12/2025 - 04/01/2027","Week 6","Poland (PL)","15919.0","15604.307","27733.885","28259.0"
"29/12/2025 - 04/01/2027","Week 7","Poland (PL)","15637.0","15536.739","26717.204","26450.0"
"29/12/2025 - 04/01/2027","Week 8","Poland (PL)","15012.0","14676.08","26786.875","26794.0"
"29/12/2025 - 04/01/2027","Week 9","Poland (PL)","13450.0","13356.695","24154.068","24050.0"
"29/12/2025 - 04/01/2027","Week 10","Poland (PL)","13925.0","13974.793","22963.663","22730.0"
"29/12/2025 - 04/01/2027","Week 11","Poland (PL)","13000.0","12897.3","22279.63","22063.0"
"29/12/2025 - 04/01/2027","Week 12","Poland (PL)","13888.0","13648.339","22850.17","22594.0"
"29/12/2025 - 04/01/2027","Week 13","Poland (PL)","13581.0","13462.032","23148.995","22700.0"
"29/12/2025 - 04/01/2027","Week 14","Poland (PL)","11900.0","11868.643","22964.174","22988.0"
"29/12/2025 - 04/01/2027","Week 15","Poland (PL)","11718.0","11322.021","22822.933","22613.0"
"29/12/2025 - 04/01/2027","Week 16","Poland (PL)","13106.0","12916.549","22282.693","22050.0"
"29/12/2025 - 04/01/2027","Week 17","Poland (PL)","12901.0","12750.725","21569.5","21550.0"
"29/12/2025 - 04/01/2027","Week 18","Poland (PL)","11488.0","11211.229","21778.608","21788.0"
"29/12/2025 - 04/01/2027","Week 19","Poland (PL)","11962.0","11789.397","20864.216","20869.0"
"29/12/2025 - 04/01/2027","Week 20","Poland (PL)","12550.0","12404.999","21791.034","21217.0"
"29/12/2025 - 04/01/2027","Week 21","Poland (PL)","11538.0","11395.375","20889.955","20875.0"
"29/12/2025 - 04/01/2027","Week 22","Poland (PL)","11680.0","11596.668","20647.205","21175.0"
"29/12/2025 - 04/01/2027","Week 23","Poland (PL)","11731.0","11405.127","20467.566","20631.0"
"29/12/2025 - 04/01/2027","Week 24","Poland (PL)","11181.0","11147.989","20941.705","21220.0"
"29/12/2025 - 04/01/2027","Week 25","Poland (PL)","11319.0","11801.846","21491.821","21588.0"
"29/12/2025 - 04/01/2027","Week 26","Poland (PL)","12813.0","12812.262","22532.494","21919.0"
"29/12/2025 - 04/01/2027","Week 27","Poland (PL)","11988.0","11658.516","22857.726","22813.0"
"29/12/2025 - 04/01/2027","Week 28","Poland (PL)","11988.0","-","-","20557.0"
"29/12/2025 - 04/01/2027","Week 29","Poland (PL)","11988.0","-","-","20557.0"
"29/12/2025 - 04/01/2027","Week 30","Poland (PL)","11988.0","-","-","20557.0"
"29/12/2025 - 04/01/2027","Week 31","Poland (PL)","12100.0","-","-","20557.0"
"29/12/2025 - 04/01/2027","Week 32","Poland (PL)","11600.0","-","-","21800.0"
"29/12/2025 - 04/01/2027","Week 33","Poland (PL)","10700.0","-","-","21700.0"
"29/12/2025 - 04/01/2027","Week 34","Poland (PL)","12100.0","-","-","21600.0"
"29/12/2025 - 04/01/2027","Week 35","Poland (PL)","12300.0","-","-","21700.0"
"29/12/2025 - 04/01/2027","Week 36","Poland (PL)","13100.0","-","-","21900.0"
"29/12/2025 - 04/01/2027","Week 37","Poland (PL)","13200.0","-","-","22300.0"
"29/12/2025 - 04/01/2027","Week 38","Poland (PL)","13600.0","-","-","22500.0"
"29/12/2025 - 04/01/2027","Week 39","Poland (PL)","13300.0","-","-","22700.0"
"29/12/2025 - 04/01/2027","Week 40","Poland (PL)","13700.0","-","-","23200.0"
"29/12/2025 - 04/01/2027","Week 41","Poland (PL)","14200.0","-","-","23400.0"
"29/12/2025 - 04/01/2027","Week 42","Poland (PL)","14200.0","-","-","23400.0"
"29/12/2025 - 04/01/2027","Week 43","Poland (PL)","13900.0","-","-","23600.0"
"29/12/2025 - 04/01/2027","Week 44","Poland (PL)","13500.0","-","-","24000.0"
"29/12/2025 - 04/01/2027","Week 45","Poland (PL)","13600.0","-","-","24500.0"
"29/12/2025 - 04/01/2027","Week 46","Poland (PL)","14700.0","-","-","24700.0"
"29/12/2025 - 04/01/2027","Week 47","Poland (PL)","14800.0","-","-","25100.0"
"29/12/2025 - 04/01/2027","Week 48","Poland (PL)","15300.0","-","-","25400.0"
"29/12/2025 - 04/01/2027","Week 49","Poland (PL)","15300.0","-","-","25600.0"
"29/12/2025 - 04/01/2027","Week 50","Poland (PL)","15400.0","-","-","25600.0"
"29/12/2025 - 04/01/2027","Week 51","Poland (PL)","15200.0","-","-","25600.0"
"29/12/2025 - 04/01/2027","Week 52","Poland (PL)","12400.0","-","-","25400.0"
"29/12/2025 - 04/01/2027","Week 1","Poland (PL)","14100.0","-","-","24700.0"
