"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"30/12/2019 - 04/01/2021","Week 1","Poland (PL)","12894.5","12942.73","23120.54","27300.0"
"30/12/2019 - 04/01/2021","Week 2","Poland (PL)","15204.6","14535.99","24787.9","27300.0"
"30/12/2019 - 04/01/2021","Week 3","Poland (PL)","15431.4","14901.26","24800.13","27300.0"
"30/12/2019 - 04/01/2021","Week 4","Poland (PL)","15827.0","15258.45","25250.63","27300.0"
"30/12/2019 - 04/01/2021","Week 5","Poland (PL)","15882.6","14439.03","24912.89","27900.0"
"30/12/2019 - 04/01/2021","Week 6","Poland (PL)","14921.0","15123.78","24777.18","27900.0"
"30/12/2019 - 04/01/2021","Week 7","Poland (PL)","15085.4","14986.05","24565.98","27900.0"
"30/12/2019 - 04/01/2021","Week 8","Poland (PL)","14611.6","14485.28","23977.19","27900.0"
"30/12/2019 - 04/01/2021","Week 9","Poland (PL)","15245.5","14606.49","24382.16","27900.0"
"30/12/2019 - 04/01/2021","Week 10","Poland (PL)","14895.8","14660.09","24282.56","26200.0"
"30/12/2019 - 04/01/2021","Week 11","Poland (PL)","14252.3","14794.16","23937.33","26200.0"
"30/12/2019 - 04/01/2021","Week 12","Poland (PL)","14324.7","13899.85","22791.7","26200.0"
"30/12/2019 - 04/01/2021","Week 13","Poland (PL)","13477.5","13276.03","22344.83","26200.0"
"30/12/2019 - 04/01/2021","Week 14","Poland (PL)","14010.6","13308.31","21290.88","26200.0"
"30/12/2019 - 04/01/2021","Week 15","Poland (PL)","13264.4","11169.43","20126.98","24500.0"
"30/12/2019 - 04/01/2021","Week 16","Poland (PL)","14231.6","10768.73","20381.16","24500.0"
"30/12/2019 - 04/01/2021","Week 17","Poland (PL)","11230.1","12348.14","20236.85","24500.0"
"30/12/2019 - 04/01/2021","Week 18","Poland (PL)","12536.4","11159.98","20226.71","24500.0"
"30/12/2019 - 04/01/2021","Week 19","Poland (PL)","12437.2","11699.91","21100.0","23500.0"
"30/12/2019 - 04/01/2021","Week 20","Poland (PL)","12823.4","11754.26","21033.31","23500.0"
"30/12/2019 - 04/01/2021","Week 21","Poland (PL)","12479.8","11932.24","20873.54","23500.0"
"30/12/2019 - 04/01/2021","Week 22","Poland (PL)","12565.3","11754.93","21031.5","23500.0"
"30/12/2019 - 04/01/2021","Week 23","Poland (PL)","12406.9","11841.84","21142.48","24500.0"
"30/12/2019 - 04/01/2021","Week 24","Poland (PL)","12311.7","11690.19","21073.93","24500.0"
"30/12/2019 - 04/01/2021","Week 25","Poland (PL)","13265.2","12309.56","22173.93","24500.0"
"30/12/2019 - 04/01/2021","Week 26","Poland (PL)","12291.8","12210.25","21843.34","24500.0"
"30/12/2019 - 04/01/2021","Week 27","Poland (PL)","12817.8","12132.34","22344.78","24500.0"
"30/12/2019 - 04/01/2021","Week 28","Poland (PL)","12720.6","11903.98","21828.68","24100.0"
"30/12/2019 - 04/01/2021","Week 29","Poland (PL)","12464.3","12069.6","21523.96","24100.0"
"30/12/2019 - 04/01/2021","Week 30","Poland (PL)","12699.4","12157.95","21766.58","24100.0"
"30/12/2019 - 04/01/2021","Week 31","Poland (PL)","12712.9","11949.63","22131.44","24200.0"
"30/12/2019 - 04/01/2021","Week 32","Poland (PL)","12127.7","12744.38","22191.05","24200.0"
"30/12/2019 - 04/01/2021","Week 33","Poland (PL)","12615.1","12085.15","22655.54","24200.0"
"30/12/2019 - 04/01/2021","Week 34","Poland (PL)","12116.2","12965.99","22749.6","24200.0"
"30/12/2019 - 04/01/2021","Week 35","Poland (PL)","12788.8","12821.18","21922.01","24200.0"
"30/12/2019 - 04/01/2021","Week 36","Poland (PL)","13170.0","12863.89","21947.23","24400.0"
"30/12/2019 - 04/01/2021","Week 37","Poland (PL)","12888.6","13011.99","22065.58","24400.0"
"30/12/2019 - 04/01/2021","Week 38","Poland (PL)","13008.0","13211.98","22961.39","24400.0"
"30/12/2019 - 04/01/2021","Week 39","Poland (PL)","13498.5","13547.61","23222.25","24400.0"
"30/12/2019 - 04/01/2021","Week 40","Poland (PL)","13675.9","13628.19","23526.83","25400.0"
"30/12/2019 - 04/01/2021","Week 41","Poland (PL)","14191.1","13928.15","23618.41","25400.0"
"30/12/2019 - 04/01/2021","Week 42","Poland (PL)","13817.6","14266.14","24338.25","25400.0"
"30/12/2019 - 04/01/2021","Week 43","Poland (PL)","13883.4","14088.93","23636.24","25400.0"
"30/12/2019 - 04/01/2021","Week 44","Poland (PL)","13803.2","13910.26","24166.81","25400.0"
"30/12/2019 - 04/01/2021","Week 45","Poland (PL)","13414.3","14054.68","24067.11","27200.0"
"30/12/2019 - 04/01/2021","Week 46","Poland (PL)","13977.9","14359.3","24192.84","27300.0"
"30/12/2019 - 04/01/2021","Week 47","Poland (PL)","14081.2","14862.01","24478.23","27300.0"
"30/12/2019 - 04/01/2021","Week 48","Poland (PL)","14591.7","15240.73","25235.14","27300.0"
"30/12/2019 - 04/01/2021","Week 49","Poland (PL)","14930.8","14920.3","26062.06","28000.0"
"30/12/2019 - 04/01/2021","Week 50","Poland (PL)","14752.1","15421.51","26532.36","28000.0"
"30/12/2019 - 04/01/2021","Week 51","Poland (PL)","16706.0","15362.8","25626.79","28000.0"
"30/12/2019 - 04/01/2021","Week 52","Poland (PL)","12700.3","12640.53","25390.59","28000.0"
"30/12/2019 - 04/01/2021","Week 1","Poland (PL)","12894.5","13520.11","22643.13","28000.0"
