"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"03/01/2022 - 02/01/2023","Week 2","Poland (PL)","13792.7","14222.64","24401.81","26300.0"
"03/01/2022 - 02/01/2023","Week 3","Poland (PL)","15257.5","16129.83","26426.69","26700.0"
"03/01/2022 - 02/01/2023","Week 4","Poland (PL)","16461.1","16080.68","25849.05","27200.0"
"03/01/2022 - 02/01/2023","Week 5","Poland (PL)","15105.6","15228.38","25907.4","26600.0"
"03/01/2022 - 02/01/2023","Week 6","Poland (PL)","15904.7","15432.71","25865.41","26700.0"
"03/01/2022 - 02/01/2023","Week 7","Poland (PL)","16211.6","15481.16","25269.21","27500.0"
"03/01/2022 - 02/01/2023","Week 8","Poland (PL)","16484.6","14945.03","24537.99","26700.0"
"03/01/2022 - 02/01/2023","Week 9","Poland (PL)","15430.4","15528.45","24939.5","26700.0"
"03/01/2022 - 02/01/2023","Week 10","Poland (PL)","14797.6","16239.29","25535.99","26700.0"
"03/01/2022 - 02/01/2023","Week 11","Poland (PL)","14767.8","15809.93","25227.15","25500.0"
"03/01/2022 - 02/01/2023","Week 12","Poland (PL)","14364.8","15011.71","24503.89","25400.0"
"03/01/2022 - 02/01/2023","Week 13","Poland (PL)","14979.6","15120.53","24209.94","25400.0"
"03/01/2022 - 02/01/2023","Week 14","Poland (PL)","14740.3","15314.48","24882.06","24800.0"
"03/01/2022 - 02/01/2023","Week 15","Poland (PL)","12482.5","15121.41","24399.16","24500.0"
"03/01/2022 - 02/01/2023","Week 16","Poland (PL)","13537.5","13292.81","24183.06","24700.0"
"03/01/2022 - 02/01/2023","Week 17","Poland (PL)","13754.7","13004.56","23890.39","23600.0"
"03/01/2022 - 02/01/2023","Week 18","Poland (PL)","13587.6","13531.4","23436.79","23500.0"
"03/01/2022 - 02/01/2023","Week 19","Poland (PL)","12575.1","13410.75","22248.81","23300.0"
"03/01/2022 - 02/01/2023","Week 20","Poland (PL)","13070.1","13049.31","22283.68","23200.0"
"03/01/2022 - 02/01/2023","Week 21","Poland (PL)","12580.1","12881.73","21925.91","23600.0"
"03/01/2022 - 02/01/2023","Week 22","Poland (PL)","12502.1","13031.88","22511.2","23200.0"
"03/01/2022 - 02/01/2023","Week 23","Poland (PL)","12619.5","12852.49","22085.53","23300.0"
"03/01/2022 - 02/01/2023","Week 24","Poland (PL)","12056.8","12947.16","22646.29","23800.0"
"03/01/2022 - 02/01/2023","Week 25","Poland (PL)","12228.3","12877.94","22034.65","24600.0"
"03/01/2022 - 02/01/2023","Week 26","Poland (PL)","13011.4","13525.13","23049.5","24400.0"
"03/01/2022 - 02/01/2023","Week 27","Poland (PL)","12853.7","13035.93","23513.79","24600.0"
"03/01/2022 - 02/01/2023","Week 28","Poland (PL)","12863.9","12797.23","22778.24","24300.0"
"03/01/2022 - 02/01/2023","Week 29","Poland (PL)","12925.9","12743.34","21969.31","24600.0"
"03/01/2022 - 02/01/2023","Week 30","Poland (PL)","13285.1","13298.38","23078.09","24300.0"
"03/01/2022 - 02/01/2023","Week 31","Poland (PL)","13016.0","13051.91","22285.53","24000.0"
"03/01/2022 - 02/01/2023","Week 32","Poland (PL)","12797.4","12759.91","21904.35","23900.0"
"03/01/2022 - 02/01/2023","Week 33","Poland (PL)","12637.1","12976.59","21490.76","23700.0"
"03/01/2022 - 02/01/2023","Week 34","Poland (PL)","12780.0","12748.98","23375.1","23400.0"
"03/01/2022 - 02/01/2023","Week 35","Poland (PL)","13092.8","13717.33","23134.39","23500.0"
"03/01/2022 - 02/01/2023","Week 36","Poland (PL)","13235.8","12987.08","22245.4","24100.0"
"03/01/2022 - 02/01/2023","Week 37","Poland (PL)","13486.4","13157.19","22128.28","23600.0"
"03/01/2022 - 02/01/2023","Week 38","Poland (PL)","13677.4","13293.41","22187.7","23900.0"
"03/01/2022 - 02/01/2023","Week 39","Poland (PL)","13689.8","13570.64","22765.19","24100.0"
"03/01/2022 - 02/01/2023","Week 40","Poland (PL)","14201.3","13348.03","23060.58","24200.0"
"03/01/2022 - 02/01/2023","Week 41","Poland (PL)","13608.8","13566.06","23189.51","24600.0"
"03/01/2022 - 02/01/2023","Week 42","Poland (PL)","14468.8","13630.05","23421.18","24900.0"
"03/01/2022 - 02/01/2023","Week 43","Poland (PL)","14647.8","13890.58","23294.18","24800.0"
"03/01/2022 - 02/01/2023","Week 44","Poland (PL)","14649.7","13389.65","23422.8","25000.0"
"03/01/2022 - 02/01/2023","Week 45","Poland (PL)","13407.4","13325.18","23488.98","25400.0"
"03/01/2022 - 02/01/2023","Week 46","Poland (PL)","14721.7","13885.2","23622.48","25500.0"
"03/01/2022 - 02/01/2023","Week 47","Poland (PL)","14969.4","14595.58","25581.79","26100.0"
"03/01/2022 - 02/01/2023","Week 48","Poland (PL)","14526.4","15367.01","26521.86","26600.0"
"03/01/2022 - 02/01/2023","Week 49","Poland (PL)","15815.5","15481.43","26537.04","26900.0"
"03/01/2022 - 02/01/2023","Week 50","Poland (PL)","15606.5","15691.13","26012.09","27200.0"
"03/01/2022 - 02/01/2023","Week 51","Poland (PL)","16639.5","16422.93","27211.43","27100.0"
"03/01/2022 - 02/01/2023","Week 52","Poland (PL)","14501.9","12683.7","26763.84","27200.0"
"03/01/2022 - 02/01/2023","Week 53","Poland (PL)","12664.3","11454.2","21867.99","26100.0"
