"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"02/01/2023 - 01/01/2024","Week 1","Poland (PL)","13194.6","12463.01","23544.26","27000.0"
"02/01/2023 - 01/01/2024","Week 2","Poland (PL)","15598.6","13533.16","24318.59","27100.0"
"02/01/2023 - 01/01/2024","Week 3","Poland (PL)","15994.3","15115.88","25876.31","27400.0"
"02/01/2023 - 01/01/2024","Week 4","Poland (PL)","16189.4","15370.59","25794.13","26900.0"
"02/01/2023 - 01/01/2024","Week 5","Poland (PL)","15093.8","15608.76","25520.99","27000.0"
"02/01/2023 - 01/01/2024","Week 6","Poland (PL)","15320.1","15318.84","25888.86","27700.0"
"02/01/2023 - 01/01/2024","Week 7","Poland (PL)","15303.4","14396.15","24306.9","26900.0"
"02/01/2023 - 01/01/2024","Week 8","Poland (PL)","14751.2","14838.38","23888.04","27000.0"
"02/01/2023 - 01/01/2024","Week 9","Poland (PL)","15591.7","15109.15","24877.14","26700.0"
"02/01/2023 - 01/01/2024","Week 10","Poland (PL)","16068.4","15176.48","24715.68","25800.0"
"02/01/2023 - 01/01/2024","Week 11","Poland (PL)","15567.7","14268.85","24114.43","25600.0"
"02/01/2023 - 01/01/2024","Week 12","Poland (PL)","14904.8","13737.79","23454.44","25700.0"
"02/01/2023 - 01/01/2024","Week 13","Poland (PL)","14901.5","13828.89","23567.31","25300.0"
"02/01/2023 - 01/01/2024","Week 14","Poland (PL)","15350.9","12566.74","23886.59","25200.0"
"02/01/2023 - 01/01/2024","Week 15","Poland (PL)","14957.4","12233.08","22484.08","25300.0"
"02/01/2023 - 01/01/2024","Week 16","Poland (PL)","12802.8","12711.96","22757.43","24500.0"
"02/01/2023 - 01/01/2024","Week 17","Poland (PL)","14678.8","12706.69","22269.08","24200.0"
"02/01/2023 - 01/01/2024","Week 18","Poland (PL)","13339.1","12237.03","20292.45","23400.0"
"02/01/2023 - 01/01/2024","Week 19","Poland (PL)","13169.5","12501.1","21147.94","23400.0"
"02/01/2023 - 01/01/2024","Week 20","Poland (PL)","12937.1","12097.94","22400.36","23800.0"
"02/01/2023 - 01/01/2024","Week 21","Poland (PL)","12711.3","11824.45","20997.48","23400.0"
"02/01/2023 - 01/01/2024","Week 22","Poland (PL)","12936.8","11731.24","20281.05","23500.0"
"02/01/2023 - 01/01/2024","Week 23","Poland (PL)","12664.9","11469.16","20587.44","23900.0"
"02/01/2023 - 01/01/2024","Week 24","Poland (PL)","12850.4","12278.74","21287.43","24900.0"
"02/01/2023 - 01/01/2024","Week 25","Poland (PL)","12804.3","12306.69","22502.59","24600.0"
"02/01/2023 - 01/01/2024","Week 26","Poland (PL)","13419.7","12164.65","21320.24","24701.0"
"02/01/2023 - 01/01/2024","Week 27","Poland (PL)","12913.1","12226.95","21160.38","24600.0"
"02/01/2023 - 01/01/2024","Week 28","Poland (PL)","12635.9","12430.35","22532.71","24900.0"
"02/01/2023 - 01/01/2024","Week 29","Poland (PL)","12566.9","11793.95","21946.91","24600.0"
"02/01/2023 - 01/01/2024","Week 30","Poland (PL)","13223.2","12061.25","20977.88","24300.0"
"02/01/2023 - 01/01/2024","Week 31","Poland (PL)","13017.0","11969.86","20527.4","24200.0"
"02/01/2023 - 01/01/2024","Week 32","Poland (PL)","12678.8","12067.9","20443.15","23800.0"
"02/01/2023 - 01/01/2024","Week 33","Poland (PL)","12649.7","12641.58","22132.0","23700.0"
"02/01/2023 - 01/01/2024","Week 34","Poland (PL)","13463.0","13102.96","22353.7","23500.0"
"02/01/2023 - 01/01/2024","Week 35","Poland (PL)","13505.6","12892.68","22484.99","24400.0"
"02/01/2023 - 01/01/2024","Week 36","Poland (PL)","12712.6","12908.1","22199.14","23800.0"
"02/01/2023 - 01/01/2024","Week 37","Poland (PL)","12992.1","12615.99","22961.83","24100.0"
"02/01/2023 - 01/01/2024","Week 38","Poland (PL)","13054.9","12690.49","22393.09","24400.0"
"02/01/2023 - 01/01/2024","Week 39","Poland (PL)","13514.0","12633.45","22606.24","24400.0"
"02/01/2023 - 01/01/2024","Week 40","Poland (PL)","13232.9","12982.51","22543.4","25000.0"
"02/01/2023 - 01/01/2024","Week 41","Poland (PL)","13470.0","13208.74","23250.76","25200.0"
"02/01/2023 - 01/01/2024","Week 42","Poland (PL)","13562.0","13827.93","23561.38","25100.0"
"02/01/2023 - 01/01/2024","Week 43","Poland (PL)","13795.3","13729.98","23672.44","25200.0"
"02/01/2023 - 01/01/2024","Week 44","Poland (PL)","13190.4","13229.11","23092.55","25700.0"
"02/01/2023 - 01/01/2024","Week 45","Poland (PL)","13904.4","13721.26","23637.71","26300.0"
"02/01/2023 - 01/01/2024","Week 46","Poland (PL)","13778.0","14603.93","24829.58","26500.0"
"02/01/2023 - 01/01/2024","Week 47","Poland (PL)","15957.9","15181.85","25556.16","26900.0"
"02/01/2023 - 01/01/2024","Week 48","Poland (PL)","15246.6","16314.3","26795.08","27300.0"
"02/01/2023 - 01/01/2024","Week 49","Poland (PL)","15387.3","15767.61","27105.73","27500.0"
"02/01/2023 - 01/01/2024","Week 50","Poland (PL)","15775.2","14999.86","25795.04","27500.0"
"02/01/2023 - 01/01/2024","Week 51","Poland (PL)","15236.6","13787.89","24915.56","27600.0"
"02/01/2023 - 01/01/2024","Week 52","Poland (PL)","14000.1","12183.24","21543.45","26800.0"
