"Time Interval","Week","Area","Forecast min [MW]","Actual min [MW]","Actual max [MW]","Forecast max [MW]"
"30/12/2024 - 29/12/2025","Week 1","Poland (PL)","13169.0","12797.49","22824.065","22456.0"
"30/12/2024 - 29/12/2025","Week 2","Poland (PL)","13950.0","14096.059","24606.878","24213.0"
"30/12/2024 - 29/12/2025","Week 3","Poland (PL)","14937.0","14862.727","25078.255","24876.0"
"30/12/2024 - 29/12/2025","Week 4","Poland (PL)","14179.0","13873.296","24535.848","24568.0"
"30/12/2024 - 29/12/2025","Week 5","Poland (PL)","14250.0","14136.881","23513.868","23032.0"
"30/12/2024 - 29/12/2025","Week 6","Poland (PL)","14725.0","14400.281","23884.022","24114.0"
"30/12/2024 - 29/12/2025","Week 7","Poland (PL)","14931.0","14937.055","24643.714","25226.0"
"30/12/2024 - 29/12/2025","Week 8","Poland (PL)","14400.0","14417.048","25135.111","25217.0"
"30/12/2024 - 29/12/2025","Week 9","Poland (PL)","14138.0","14126.852","23646.047","23550.0"
"30/12/2024 - 29/12/2025","Week 10","Poland (PL)","13343.0","12833.984","22710.678","23528.0"
"30/12/2024 - 29/12/2025","Week 11","Poland (PL)","13744.0","13473.515","22964.849","22731.0"
"30/12/2024 - 29/12/2025","Week 12","Poland (PL)","12275.0","11831.579","23091.324","23594.0"
"30/12/2024 - 29/12/2025","Week 13","Poland (PL)","13113.0","13005.151","22462.596","22613.0"
"30/12/2024 - 29/12/2025","Week 14","Poland (PL)","13650.0","13509.408","21899.531","21669.0"
"30/12/2024 - 29/12/2025","Week 15","Poland (PL)","13700.0","13003.485","22512.646","22638.0"
"30/12/2024 - 29/12/2025","Week 16","Poland (PL)","11775.0","10581.55","21298.92","22738.0"
"30/12/2024 - 29/12/2025","Week 17","Poland (PL)","11469.0","10463.962","20869.99","20888.0"
"30/12/2024 - 29/12/2025","Week 18","Poland (PL)","12696.0","10763.548","20581.441","21194.0"
"30/12/2024 - 29/12/2025","Week 19","Poland (PL)","13248.0","12041.22","20882.97","22632.0"
"30/12/2024 - 29/12/2025","Week 20","Poland (PL)","12880.0","12544.624","20972.027","22816.0"
"30/12/2024 - 29/12/2025","Week 21","Poland (PL)","13248.0","12214.1","21101.636","22632.0"
"30/12/2024 - 29/12/2025","Week 22","Poland (PL)","12788.0","11935.17","20841.054","22724.0"
"30/12/2024 - 29/12/2025","Week 23","Poland (PL)","12328.0","11383.22","20702.04","22448.0"
"30/12/2024 - 29/12/2025","Week 24","Poland (PL)","11776.0","11536.684","20070.865","22356.0"
"30/12/2024 - 29/12/2025","Week 25","Poland (PL)","11408.0","10973.934","20271.176","21896.0"
"30/12/2024 - 29/12/2025","Week 26","Poland (PL)","11408.0","11917.422","21489.147","21991.0"
"30/12/2024 - 29/12/2025","Week 27","Poland (PL)","11776.0","11766.663","21912.044","21804.0"
"30/12/2024 - 29/12/2025","Week 28","Poland (PL)","11868.0","11409.398","20911.578","22264.0"
"30/12/2024 - 29/12/2025","Week 29","Poland (PL)","11868.0","11645.78","21249.417","21896.0"
"30/12/2024 - 29/12/2025","Week 30","Poland (PL)","11868.0","11887.208","20637.482","21712.0"
"30/12/2024 - 29/12/2025","Week 31","Poland (PL)","12144.0","11725.197","19782.762","21712.0"
"30/12/2024 - 29/12/2025","Week 32","Poland (PL)","11500.0","11566.875","20008.119","21528.0"
"30/12/2024 - 29/12/2025","Week 33","Poland (PL)","11500.0","11312.52","20697.292","21712.0"
"30/12/2024 - 29/12/2025","Week 34","Poland (PL)","11868.0","11023.272","20522.509","21344.0"
"30/12/2024 - 29/12/2025","Week 35","Poland (PL)","12144.0","11819.31","21071.829","22080.0"
"30/12/2024 - 29/12/2025","Week 36","Poland (PL)","12420.0","12223.685","21679.274","21160.0"
"30/12/2024 - 29/12/2025","Week 37","Poland (PL)","12328.0","12107.011","21220.022","21620.0"
"30/12/2024 - 29/12/2025","Week 38","Poland (PL)","12788.0","11911.079","21261.469","21712.0"
"30/12/2024 - 29/12/2025","Week 39","Poland (PL)","12328.0","12292.275","21770.373","21712.0"
"30/12/2024 - 29/12/2025","Week 40","Poland (PL)","13064.0","12650.393","22526.38","22724.0"
"30/12/2024 - 29/12/2025","Week 41","Poland (PL)","13616.0","12625.869","22469.021","22816.0"
"30/12/2024 - 29/12/2025","Week 42","Poland (PL)","13432.0","13387.814","22898.448","22724.0"
"30/12/2024 - 29/12/2025","Week 43","Poland (PL)","13156.0","12832.791","22814.482","22908.0"
"30/12/2024 - 29/12/2025","Week 44","Poland (PL)","12880.0","12037.579","23107.125","23184.0"
"30/12/2024 - 29/12/2025","Week 45","Poland (PL)","13524.0","13146.643","22817.505","23920.0"
"30/12/2024 - 29/12/2025","Week 46","Poland (PL)","14076.0","13575.961","23317.262","24196.0"
"30/12/2024 - 29/12/2025","Week 47","Poland (PL)","14444.0","14070.613","24666.434","24564.0"
"30/12/2024 - 29/12/2025","Week 48","Poland (PL)","14904.0","14801.292","26134.957","25024.0"
"30/12/2024 - 29/12/2025","Week 49","Poland (PL)","15180.0","14135.026","25233.839","25484.0"
"30/12/2024 - 29/12/2025","Week 50","Poland (PL)","15364.0","13923.265","23917.495","25484.0"
"30/12/2024 - 29/12/2025","Week 51","Poland (PL)","15364.0","14349.222","24692.76","25576.0"
"30/12/2024 - 29/12/2025","Week 52","Poland (PL)","12328.0","13209.167","23508.04","25484.0"
