source_file,interval_start,interval_end,week_label,week_number,area_name,area_code,forecast_min_mw,actual_min_mw,actual_max_mw,forecast_max_mw,data_year,created_at,year,month,quarter,week_of_year,season,is_winter,is_spring,is_summer,is_autumn,week_sin,week_cos,error_min_mw,error_max_mw,abs_error_min_mw,abs_error_max_mw,actual_min_mw_lag_1,actual_min_mw_lag_2,actual_min_mw_lag_3,actual_min_mw_lag_4,actual_max_mw_lag_1,actual_max_mw_lag_2,actual_max_mw_lag_3,actual_max_mw_lag_4,forecast_min_mw_lag_1,forecast_min_mw_lag_2,forecast_min_mw_lag_3,forecast_min_mw_lag_4,forecast_max_mw_lag_1,forecast_max_mw_lag_2,forecast_max_mw_lag_3,forecast_max_mw_lag_4,actual_min_mw_roll_mean_3,actual_min_mw_roll_std_3,actual_min_mw_roll_mean_4,actual_min_mw_roll_std_4,actual_min_mw_roll_mean_8,actual_min_mw_roll_std_8,actual_max_mw_roll_mean_3,actual_max_mw_roll_std_3,actual_max_mw_roll_mean_4,actual_max_mw_roll_std_4,actual_max_mw_roll_mean_8,actual_max_mw_roll_std_8,forecast_min_mw_roll_mean_3,forecast_min_mw_roll_std_3,forecast_min_mw_roll_mean_4,forecast_min_mw_roll_std_4,forecast_min_mw_roll_mean_8,forecast_min_mw_roll_std_8,forecast_max_mw_roll_mean_3,forecast_max_mw_roll_std_3,forecast_max_mw_roll_mean_4,forecast_max_mw_roll_std_4,forecast_max_mw_roll_mean_8,forecast_max_mw_roll_std_8,actual_min_mw_diff_1,actual_min_mw_pct_change_1,actual_max_mw_diff_1,actual_max_mw_pct_change_1,forecast_min_mw_diff_1,forecast_min_mw_pct_change_1,forecast_max_mw_diff_1,forecast_max_mw_pct_change_1,range_actual_mw,range_forecast_mw,range_actual_diff_1,range_forecast_diff_1
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 1,1,Poland,PL,12898.5,12992.96,24945.56,27700.0,2019,2026-07-06 20:09:35,2019,12,4,1,winter,1,0,0,0,0.12053668025532305,0.992708874098054,94.45999999999913,-2754.4399999999987,94.45999999999913,2754.4399999999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11952.600000000002,14801.5,,
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 2,2,Poland,PL,14170.9,15513.79,25954.28,27700.0,2019,2026-07-06 20:09:35,2019,12,4,2,winter,1,0,0,0,0.23931566428755774,0.970941817426052,1342.8900000000012,-1745.7200000000012,1342.8900000000012,1745.7200000000012,12992.96,,,,24945.56,,,,12898.5,,,,27700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.8300000000017,0.19401506662069323,1008.7199999999975,0.040436855296092755,1272.3999999999996,0.09864712951118348,0.0,0.0,10440.489999999998,13529.1,-1512.1100000000042,-1272.3999999999996
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 3,3,Poland,PL,15434.4,15798.93,25264.46,27700.0,2019,2026-07-06 20:09:35,2019,12,4,3,winter,1,0,0,0,0.3546048870425356,0.9350162426854148,364.53000000000065,-2435.540000000001,364.53000000000065,2435.540000000001,15513.79,12992.96,,,25954.28,24945.56,,,14170.9,12898.5,,,27700.0,27700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,285.1399999999994,0.01837977695972426,-689.8199999999997,-0.026578275336476276,1263.5,0.08916159171259408,0.0,0.0,9465.529999999999,12265.6,-974.9599999999991,-1263.5
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 4,4,Poland,PL,15483.2,16055.43,26135.58,27700.0,2019,2026-07-06 20:09:35,2019,12,4,4,winter,1,0,0,0,0.4647231720437685,0.8854560256532099,572.2299999999996,-1564.4199999999983,572.2299999999996,1564.4199999999983,15798.93,15513.79,12992.96,,25264.46,25954.28,24945.56,,15434.4,14170.9,12898.5,,27700.0,27700.0,27700.0,,14768.56,1544.309789161489,,,,,25388.100000000002,515.6007629940045,,,,,14167.933333333334,1267.952602952228,,,,,27700.0,0.0,,,,,256.5,0.01623527669278868,871.1200000000026,0.03448005617377148,48.80000000000109,0.0031617685170788334,0.0,0.0,10080.150000000001,12216.8,614.6200000000026,-48.80000000000109
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 5,5,Poland,PL,15090.6,14985.68,25339.89,27700.0,2019,2026-07-06 20:09:35,2019,12,4,5,winter,1,0,0,0,0.5680647467311558,0.8229838658936564,-104.92000000000007,-2360.1100000000006,104.92000000000007,2360.1100000000006,16055.43,15798.93,15513.79,12992.96,26135.58,25264.46,25954.28,24945.56,15483.2,15434.4,14170.9,12898.5,27700.0,27700.0,27700.0,27700.0,15789.383333333333,270.94616906930895,15090.2775,1415.604846873473,,,25784.773333333334,459.63234887607445,25574.97,562.9485045721327,,,15029.5,743.9696431978896,14496.75,1226.4926158223152,,,27700.0,0.0,27700.0,0.0,,,-1069.75,-0.0666285487215229,-795.6900000000023,-0.03044470411599831,-392.60000000000036,-0.02535651544900286,0.0,0.0,10354.21,12609.4,274.0599999999977,392.60000000000036
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 6,6,Poland,PL,15084.5,15152.4,24931.56,27400.0,2019,2026-07-06 20:09:35,2019,12,4,6,winter,1,0,0,0,0.6631226582407952,0.7485107481711011,67.89999999999964,-2468.4399999999987,67.89999999999964,2468.4399999999987,14985.68,16055.43,15798.93,15513.79,25339.89,26135.58,25264.46,25954.28,15090.6,15483.2,15434.4,14170.9,27700.0,27700.0,27700.0,27700.0,15613.346666666666,558.4999067442487,15588.4575,458.7221159827239,,,25579.97666666667,482.64243414077947,25673.5525,436.25859207393773,,,15336.066666666666,213.97610458489606,15044.775,608.2163999487889,,,27700.0,0.0,27700.0,0.0,,,166.71999999999935,0.011125287607902878,-408.3299999999981,-0.016114118885283135,-6.100000000000364,-0.0004042251467801794,-300.0,-0.010830324909747335,9779.160000000002,12315.5,-575.0499999999975,-293.89999999999964
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 7,7,Poland,PL,15570.6,14766.14,24699.6,27400.0,2019,2026-07-06 20:09:35,2019,12,4,7,winter,1,0,0,0,0.7485107481711011,0.6631226582407953,-804.460000000001,-2700.4000000000015,804.460000000001,2700.4000000000015,15152.4,14985.68,16055.43,15798.93,24931.56,25339.89,26135.58,25264.46,15084.5,15090.6,15483.2,15434.4,27400.0,27700.0,27700.0,27700.0,15397.836666666668,575.5611467371077,15498.11,510.94623454919514,,,25469.01,612.3071295518314,25417.8725,510.3007507588069,,,15219.433333333334,228.44899503680793,15273.175,215.27957597814958,,,27600.0,173.20508075688772,27625.0,150.0,,,-386.2600000000002,-0.025491671286396844,-231.96000000000276,-0.009303870275265691,486.10000000000036,0.03222513175776465,0.0,0.0,9933.46,11829.4,154.29999999999745,-486.10000000000036
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 8,8,Poland,PL,15452.3,15221.48,24560.56,27400.0,2019,2026-07-06 20:09:35,2019,12,4,8,winter,1,0,0,0,0.8229838658936564,0.5680647467311559,-230.8199999999997,-2839.4399999999987,230.8199999999997,2839.4399999999987,14766.14,15152.4,14985.68,16055.43,24699.6,24931.56,25339.89,26135.58,15570.6,15084.5,15090.6,15483.2,27400.0,27400.0,27700.0,27700.0,14968.073333333334,193.73098082994758,15239.9125,566.2219165294956,,,24990.349999999995,324.1681956947733,25276.6575,630.8285168134071,,,15248.566666666666,278.9057248127532,15307.225000000002,256.16817880707225,,,27500.0,173.20508075688772,27550.0,173.20508075688772,,,455.34000000000015,0.03083676573566274,-139.03999999999724,-0.005629240959367676,-118.30000000000109,-0.00759765198515161,0.0,0.0,9339.080000000002,11947.7,-594.3799999999974,118.30000000000109
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 9,9,Poland,PL,16332.0,15023.25,24220.56,27400.0,2019,2026-07-06 20:09:35,2019,12,4,9,winter,1,0,0,0,0.8854560256532099,0.4647231720437686,-1308.75,-3179.4399999999987,1308.75,3179.4399999999987,15221.48,14766.14,15152.4,14985.68,24560.56,24699.6,24931.56,25339.89,15452.3,15570.6,15084.5,15090.6,27400.0,27400.0,27400.0,27700.0,15046.673333333332,245.39198221077643,15031.425,202.66934474656446,15060.85125,936.7087572138271,24730.573333333334,187.42934811106622,24882.9025,340.93480377486156,25228.93625,567.8729142016975,15369.133333333333,253.49718604616984,15299.5,249.4709468722399,14898.125,924.9227608678617,27400.0,0.0,27475.0,150.0,27587.5,155.26475085202958,-198.22999999999956,-0.013023043751330343,-340.0,-0.01384333256244974,879.7000000000007,0.056930036305274934,0.0,0.0,9197.310000000001,11068.0,-141.77000000000044,-879.7000000000007
GUI_TOTAL_LOAD_YEARAHEAD_201812312300-201912312300.csv,2018-12-31,2019-12-30,Week 10,10,Poland,PL,16145.4,14460.68,23769.44,26100.0,2019,2026-07-06 20:09:35,2019,12,4,10,winter,1,0,0,0,0.9350162426854148,0.35460488704253557,-1684.7199999999993,-2330.5600000000013,1684.7199999999993,2330.5600000000013,15023.25,15221.48,14766.14,15152.4,24220.56,24560.56,24699.6,24931.56,16332.0,15452.3,15570.6,15084.5,27400.0,27400.0,27400.0,27400.0,15003.623333333331,228.3035992561959,15040.8175,200.7037113716016,15314.6375,439.47095102276853,24493.573333333334,246.44520797398155,24603.07,297.40248889342814,25138.31125,668.4924365730376,15784.966666666667,477.42310724694096,15609.85,524.0406504588486,15327.3125,606.1891370038132,27400.0,0.0,27400.0,0.0,27550.0,160.35674514745466,-562.5699999999997,-0.03744662439884838,-451.1200000000026,-0.018625498336950153,-186.60000000000036,-0.011425422483468006,-1300.0,-0.04744525547445255,9308.759999999998,9954.6,111.44999999999709,-1113.3999999999996
