Model,MAE,RMSE,MAPE,R2
XGBoost,247.4637696659483,344.37092916254386,1.0864718656715737,0.971008859750626
Random Forest,302.0385785887321,489.33699465057464,1.3190834020449977,0.9414632734017964
"ARIMA(2,1,2)",1706.2588992320284,2075.3382873235996,7.445460470696079,-0.05290728066172967
Baseline (Last Value),2010.3190517241374,2280.3778347504503,8.964617370033858,-0.2712353297913346
